analysis,model,seed,epochs,qumodes,feature_size,params,time,rel_l2,rmse,mae,max_err,nmse,pde_mse,ic_mse,bc_mse,final_loss,notes
qumode_sweep_run,MerLin Aux (3 qumodes),0,6,3,2,220,0.7593469619750977,1.0392707983937761,0.22535354990901202,0.19121588559681993,0.4260367492727588,1.0800837923940372,0.019144045189023018,0.053911756724119186,2.797117302927592e-15,0.35850849747657776,Qumode sweep: 3 modes
qumode_sweep_run,MerLin Aux (3 qumodes),1,6,3,2,220,0.5970087051391602,0.461207589315505,0.10000739716526341,0.08307434631063793,0.2725272180821331,0.21271244044221957,0.0037101912312209606,0.0203371774405241,5.55059896242355e-16,0.1666211634874344,Qumode sweep: 3 modes
qumode_sweep_run,MerLin Aux (3 qumodes),2,6,3,2,220,0.6334261894226074,0.8330833582538675,0.18064424829677245,0.14596351098955493,0.36431867280524477,0.6940278817995418,0.014846052043139935,0.03959578648209572,2.119327044248858e-15,0.5266594886779785,Qumode sweep: 3 modes
qumode_sweep_run,MerLin Aux (3 qumodes),3,6,3,2,220,0.6267001628875732,1.2073617750916341,0.2618020851368658,0.2272528436274187,0.47404680052321657,1.4577224559524218,0.023014256730675697,0.07915869355201721,3.389290953605519e-15,0.4405226409435272,Qumode sweep: 3 modes
qumode_sweep_run,MerLin Aux (3 qumodes),4,6,3,2,220,0.6264321804046631,0.5413144450178681,0.1173776189904864,0.08813741181377603,0.2614593741418557,0.29302132838500256,0.01026243157684803,0.021988818421959877,1.1779951895261572e-15,0.19541509449481964,Qumode sweep: 3 modes
qumode_sweep_run,MerLin Aux (4 qumodes),0,6,4,3,261,1.0445163249969482,0.33395380012293874,0.07241392183790969,0.057624941189132285,0.18102335951584891,0.11152514061655178,0.0017037802608683705,0.012193145230412483,8.19564092291317e-16,0.16056734323501587,Qumode sweep: 4 modes
qumode_sweep_run,MerLin Aux (4 qumodes),1,6,4,3,261,1.0394573211669922,0.4277203759525815,0.09274609200826431,0.07396969855212121,0.2154431345250042,0.18294472000501774,0.006107740104198456,0.01808025874197483,7.778658779078495e-16,0.1550692319869995,Qumode sweep: 4 modes
qumode_sweep_run,MerLin Aux (4 qumodes),2,6,4,3,261,1.063086748123169,1.193522463934022,0.2588011946062328,0.22767584120696968,0.47510647219854263,1.4244958719151388,0.01558336615562439,0.07504136860370636,3.208110606187824e-15,0.5812174081802368,Qumode sweep: 4 modes
qumode_sweep_run,MerLin Aux (4 qumodes),3,6,4,3,261,1.0302271842956543,0.47993276240074184,0.10406772892281937,0.08446784141020854,0.2454849121095376,0.2303354564256069,0.006901979446411133,0.019813669845461845,1.691186723641765e-15,0.22409997880458832,Qumode sweep: 4 modes
qumode_sweep_run,MerLin Aux (4 qumodes),4,6,4,3,261,1.1646032333374023,0.18919887838026278,0.04102553342948905,0.03170732963956107,0.12433487757613793,0.03579621558034946,0.003798059420660138,0.0044859787449240685,4.938423369850041e-16,0.08886273950338364,Qumode sweep: 4 modes
qumode_sweep_run,MerLin Aux (5 qumodes),0,6,5,4,310,1.5242462158203125,1.2745875657648214,0.27637920074240097,0.24185029983264067,0.49199598473745254,1.6245734628022932,0.019372880458831787,0.0785597488284111,3.5163293785511925e-15,0.4707985818386078,Qumode sweep: 5 modes
qumode_sweep_run,MerLin Aux (5 qumodes),1,6,5,4,310,1.6008524894714355,0.46615872519372925,0.1010809922744151,0.0793042219391121,0.23781916895430785,0.21730395707424288,0.005550294648855925,0.017537493258714676,1.2400530584067435e-15,0.15725739300251007,Qumode sweep: 5 modes
qumode_sweep_run,MerLin Aux (5 qumodes),2,6,5,4,310,1.7533769607543945,0.19976867036707321,0.043317467494901944,0.03568194097082335,0.1309567747967495,0.039907521660228346,0.003916989080607891,0.006440021563321352,8.338774138526978e-16,0.07386051118373871,Qumode sweep: 5 modes
qumode_sweep_run,MerLin Aux (5 qumodes),3,6,5,4,310,1.5911340713500977,0.7678466171326093,0.1664984345022426,0.12297781782505002,0.4201674370424999,0.589588427441992,0.0011288572568446398,0.03514830395579338,5.864582826314388e-17,0.4617752432823181,Qumode sweep: 5 modes
qumode_sweep_run,MerLin Aux (5 qumodes),4,6,5,4,310,1.5393507480621338,0.4814950082306419,0.1044064834073509,0.07513095648235954,0.30459920152595177,0.23183744295102596,0.004515219479799271,0.02104892209172249,2.222938708395405e-16,0.3063364028930664,Qumode sweep: 5 modes
qumode_sweep_run,MerLin Aux (6 qumodes),0,6,6,5,367,2.2238059043884277,0.5637894967186907,0.12225106746320094,0.0910073268749041,0.27478808560889467,0.3178585966103146,0.0041322908364236355,0.02122417278587818,1.1479205435800644e-15,0.20319947600364685,Qumode sweep: 6 modes
qumode_sweep_run,MerLin Aux (6 qumodes),1,6,6,5,367,2.1701440811157227,0.46934488989672296,0.10177187431163207,0.08269754317442456,0.29359489701050834,0.22028462567216697,0.0044550406746566296,0.020347656682133675,4.517265882980994e-16,0.1737910956144333,Qumode sweep: 6 modes
qumode_sweep_run,MerLin Aux (6 qumodes),2,6,6,5,367,2.2213289737701416,0.9468720929200306,0.20531798620637795,0.17388179797312486,0.399604235082085,0.8965667603507589,0.012387639842927456,0.049077026546001434,2.5834555713232996e-15,0.3293159306049347,Qumode sweep: 6 modes
qumode_sweep_run,MerLin Aux (6 qumodes),3,6,6,5,367,2.1526782512664795,0.45898420096578807,0.09952528176453296,0.08254867505566572,0.2262926046295729,0.21066649673620289,0.004578056745231152,0.015006937086582184,1.1899417422142318e-15,0.18419383466243744,Qumode sweep: 6 modes
qumode_sweep_run,MerLin Aux (6 qumodes),4,6,6,5,367,2.201357841491699,1.106742741898078,0.23998404083731917,0.20289090923332814,0.4532823900274585,1.2248794967440755,0.01848519779741764,0.06126652657985687,2.7163004071224014e-15,0.44143417477607727,Qumode sweep: 6 modes
qumode_sweep_run,MerLin Aux (7 qumodes),0,6,7,6,432,3.428445339202881,0.4597652987340885,0.09969465355404594,0.07972953481238114,0.21980884692925529,0.2113841299200457,0.005298623815178871,0.019460825249552727,8.870587480229735e-16,0.36268696188926697,Qumode sweep: 7 modes
qumode_sweep_run,MerLin Aux (7 qumodes),1,6,7,6,432,3.3346149921417236,0.567829147894702,0.12312701792222973,0.0917746834539436,0.2755280372621255,0.32242994119882334,0.007234035991132259,0.023618606850504875,1.2055925817388864e-15,0.20502085983753204,Qumode sweep: 7 modes
qumode_sweep_run,MerLin Aux (7 qumodes),2,6,7,6,432,3.368297576904297,0.5933288102030437,0.12865631734211835,0.09605454471080331,0.2891635832311349,0.3520390770169597,0.006032202392816544,0.025291863828897476,1.3136198815790292e-15,0.22112208604812622,Qumode sweep: 7 modes
qumode_sweep_run,MerLin Aux (7 qumodes),3,6,7,6,432,3.443624258041382,0.5520715329054393,0.11971016595119582,0.09162027306995223,0.2637994627050708,0.3047829774445618,0.007876026444137096,0.02184668369591236,1.2740534903051231e-15,0.23911210894584656,Qumode sweep: 7 modes
qumode_sweep_run,MerLin Aux (7 qumodes),4,6,7,6,432,3.4675822257995605,0.2847510154902368,0.061744881391930774,0.04742352986258158,0.19353854677933768,0.08108314082272104,0.005435002036392689,0.011202969588339329,5.182773846287186e-16,0.2107338011264801,Qumode sweep: 7 modes
qumode_sweep_run,MerLin Aux (8 qumodes),0,6,8,7,505,4.948024749755859,1.0037508063284222,0.21765146079322167,0.18393307111220672,0.424504582076485,1.0075156812049582,0.011295615695416927,0.05119406804442406,2.727968709487303e-15,0.5326315760612488,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (8 qumodes),1,6,8,7,505,4.601132154464722,0.7648356512644208,0.16584554225500558,0.13400320349032901,0.33645894498841333,0.5849735734450711,0.018346501514315605,0.03368321433663368,2.0818839528154815e-15,0.4589759111404419,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (8 qumodes),2,6,8,7,505,4.613066673278809,0.6924571543961732,0.15015112340714926,0.11023364041966302,0.3840634880917324,0.47949691067444544,0.0015583948697894812,0.03748235106468201,8.41208669299641e-17,0.3945159316062927,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (8 qumodes),3,6,8,7,505,4.446345567703247,0.35744068434920606,0.07750677419638217,0.061091888305448684,0.19301816842812614,0.12776384282802883,0.0030901532154530287,0.013319481164216995,8.214074477427792e-16,0.14542138576507568,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (8 qumodes),4,6,8,7,505,4.508580207824707,0.4702856445483199,0.10197586580322256,0.08550372402832,0.2469651345654097,0.22116858746822868,0.004444931633770466,0.017062468454241753,1.311819724807877e-15,0.36925387382507324,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (9 qumodes),0,6,9,8,586,5.925160646438599,1.0490024730825016,0.22746374817596357,0.19307804483938573,0.43688103952925905,1.1004061885332044,0.014489014632999897,0.05483339726924896,2.8550825203652822e-15,0.24958059191703796,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (9 qumodes),1,6,9,8,586,5.939958810806274,0.4182538189618035,0.09069338137058938,0.06764706075433015,0.28360264583995476,0.1749362570761331,0.0017339910846203566,0.01836051605641842,5.063217792760201e-16,0.18045629560947418,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (9 qumodes),2,6,9,8,586,6.023498773574829,0.4293101646809659,0.09309081884375363,0.07539335957800852,0.269232079603854,0.1843072174983981,0.00404044846072793,0.01880490407347679,5.0837181076661235e-16,0.20068515837192535,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (9 qumodes),3,6,9,8,586,5.884945869445801,0.3804247017240097,0.08249058584064996,0.06542339217033896,0.20146471283692435,0.14472295368180169,0.002289631636813283,0.014926384203135967,6.852318666368366e-16,0.15033072233200073,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (9 qumodes),4,6,9,8,586,6.000755310058594,1.1501386361733252,0.24939392596207932,0.21556107481366163,0.4490194658331226,1.3228188824186369,0.026938198134303093,0.06450926512479782,3.463380290227142e-15,0.591076135635376,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (10 qumodes),0,6,10,9,675,7.698806047439575,0.5666668094564568,0.12287497861384249,0.09180339679692474,0.2807416555406289,0.32111127293956043,0.013315579853951931,0.023562520742416382,1.4051914488363891e-15,0.29851970076560974,Qumode sweep: 10 modes
qumode_sweep_run,MerLin Aux (10 qumodes),1,6,10,9,675,7.369161605834961,0.4848063334356977,0.1051245050154013,0.08280081691407533,0.2294309970857339,0.23503718093936501,0.005641026888042688,0.01989164389669895,9.147057975422354e-16,0.18455031514167786,Qumode sweep: 10 modes
qumode_sweep_run,MerLin Aux (10 qumodes),2,6,10,9,675,7.563149452209473,1.4050595682523974,0.3046705074641475,0.25346485967003596,0.6232393814580692,1.974192390337613,0.0032179858535528183,0.11841642111539841,2.0900012548374767e-16,1.5990792512893677,Qumode sweep: 10 modes
qumode_sweep_run,MerLin Aux (10 qumodes),3,6,10,9,675,7.474045753479004,0.31885466883919417,0.06913985425071976,0.0546623803168848,0.21680048688819542,0.1016682998405522,0.0053990487940609455,0.011308032087981701,7.195837113292084e-16,0.14607474207878113,Qumode sweep: 10 modes
qumode_sweep_run,MerLin Aux (10 qumodes),4,6,10,9,675,7.354386806488037,0.4127100944403707,0.08949129044053213,0.0771336927467308,0.22568380278783706,0.17032962205297972,0.010388659313321114,0.014217262156307697,1.3132098117534397e-15,0.15642547607421875,Qumode sweep: 10 modes
