model_name,experiment_type,ablation_type,seed,modes,photons,depth,fock_dim,n_params,ncomp,supported,reason,rmse,nmse,mae,max_err,pde_residual,ic_error,bc_error,consistency_error,train_time_s,forward_time_ms
MerLin Full,baseline,none,0,5,2,1,15,270,94,True,,0.04861681748101198,0.05026916756965271,0.037454850645435314,0.11723559327586008,0.003202935680747032,0.0008131914073601365,3.6119509809062896e-16,0.05839061737060547,12.336233615875244,24.19130802154541
Classical Matched,baseline,none,0,0,0,0,0,282,0,True,,0.035738535811279365,0.027164527362459317,0.030396504822620962,0.09022060617377892,0.003928169142454863,0.002539684297516942,8.290761134703052e-16,0.03528542444109917,0.7596473693847656,0.8590936660766602
Classical Fourier,baseline,none,0,0,0,0,0,3234,0,True,,0.022941362008636845,0.011193529230409281,0.017521103910107545,0.059945152050762895,0.0028322446160018444,9.215395402861759e-05,2.282344834755493e-16,0.02404075488448143,1.1191589832305908,1.0422229766845703
MerLin No-Mixing,ablation,no_mixing_retrained,0,5,2,1,15,238,12,True,,0.09858667364838877,0.20671170487256788,0.08152960175585736,0.25234550259369926,0.00421426584944129,0.019224200397729874,6.592422488371145e-16,0.00046202223165892065,5.486684560775757,6.887912750244141
MerLin Frozen,ablation,frozen_surgical,0,5,2,1,15,230,94,True,,0.04861681748101198,0.05026916756965271,0.037454850645435314,0.11723559327586008,0.003134216880425811,0.0008912012563087046,3.0548931456995986e-16,0.05950412154197693,15.383300542831421,23.34163188934326
MerLin Frozen Random,ablation,frozen_random,0,5,2,1,15,230,94,True,,0.034262221681788274,0.024966616083804516,0.02692287446429236,0.08643613107660031,0.002949221758171916,0.0004657575045712292,2.039684850792611e-16,0.04436773806810379,11.01865816116333,24.363327026367188
MerLin Phase-Random,ablation,phase_random_surgical,0,5,2,1,15,270,94,True,,0.1763886402874625,0.6617133042262011,0.1354793423771962,0.44165648914236144,0.005581818521022797,0.044594500213861465,1.6422440217488886e-17,0.02794364094734192,0.0,25.445151329040527
MerLin Depth=0,ablation,depth_0,0,0,2,0,0,250,0,True,,0.04600873181889509,0.04502038107997205,0.03309538776399345,0.13279063213634734,0.0050340634770691395,0.005464296322315931,1.6619864274554754e-15,0.03451428934931755,0.7866919040679932,0.4714012145996094
MerLin Depth=1,ablation,depth_1,0,5,2,1,15,270,94,True,,0.04861681748101198,0.05026916756965271,0.037454850645435314,0.11723559327586008,0.003202935680747032,0.0008131914073601365,3.6119509809062896e-16,0.05839061737060547,15.561095714569092,24.543261528015137
MerLin Depth=2,ablation,depth_2,0,5,2,2,15,310,184,True,,0.035991442118643385,0.027550351149449967,0.030688795965299873,0.08554181478280143,0.0039589605294167995,0.002993894973769784,8.866830889108662e-16,0.03017447143793106,25.448397159576416,42.9119348526001
MerLin Distinguishability mu=1.0,ablation,distinguishability,0,0,0,0,0,0,0,False,Distinguishability sweep requires custom experiment rebuilding per mu value. Not implemented in this pass.,,,,,,,,,0.0,0.0
MerLin Distinguishability mu=0.75,ablation,distinguishability,0,0,0,0,0,0,0,False,Distinguishability sweep requires custom experiment rebuilding per mu value. Not implemented in this pass.,,,,,,,,,0.0,0.0
MerLin Distinguishability mu=0.5,ablation,distinguishability,0,0,0,0,0,0,0,False,Distinguishability sweep requires custom experiment rebuilding per mu value. Not implemented in this pass.,,,,,,,,,0.0,0.0
MerLin Distinguishability mu=0.25,ablation,distinguishability,0,0,0,0,0,0,0,False,Distinguishability sweep requires custom experiment rebuilding per mu value. Not implemented in this pass.,,,,,,,,,0.0,0.0
MerLin Distinguishability mu=0.0,ablation,distinguishability,0,0,0,0,0,0,0,False,Distinguishability sweep requires custom experiment rebuilding per mu value. Not implemented in this pass.,,,,,,,,,0.0,0.0
MerLin Photons=1,ablation,photon_1,0,5,1,1,5,270,94,True,,0.04861681748101198,0.05026916756965271,0.037454850645435314,0.11723559327586008,0.003202935680747032,0.0008131914073601365,3.6119509809062896e-16,0.05839061737060547,16.69312310218811,27.65634059906006
MerLin Photons=2,ablation,photon_2,0,5,2,1,15,270,94,True,,0.04861681748101198,0.05026916756965271,0.037454850645435314,0.11723559327586008,0.003202935680747032,0.0008131914073601365,3.6119509809062896e-16,0.05839061737060547,14.81756067276001,55.437541007995605
Scale Depth=1,ablation,scale_depth,0,5,2,1,15,270,94,True,,0.04861681748101198,0.05026916756965271,0.037454850645435314,0.11723559327586008,0.003202935680747032,0.0008131914073601365,3.6119509809062896e-16,0.05839061737060547,15.042858362197876,23.868274688720703
Scale Depth=2,ablation,scale_depth,0,5,2,2,15,310,184,True,,0.035991442118643385,0.027550351149449967,0.030688795965299873,0.08554181478280143,0.0039589605294167995,0.002993894973769784,8.866830889108662e-16,0.03017447143793106,16.12790036201477,46.76525592803955
Scale Depth=3,ablation,scale_depth,0,5,2,3,15,350,274,True,,0.03977087088442125,0.033640221277169306,0.029488499327984842,0.1154407658623387,0.0028572415467351675,0.0005978405242785811,4.275730202906694e-16,0.055939462035894394,42.82861089706421,114.11206722259521
Scale Modes=2,ablation,scale_modes,0,3,2,2,6,220,62,True,,0.03593650404076524,0.027466308494814375,0.025061967598193867,0.12726698922844498,0.0034059537574648857,0.0008909436292015016,5.9613956481609e-16,0.06448714435100555,11.878260374069214,6.522345542907715
Scale Modes=3,ablation,scale_modes,0,3,2,2,6,220,62,True,,0.03593650404076524,0.027466308494814375,0.025061967598193867,0.12726698922844498,0.0034059537574648857,0.0008909436292015016,5.9613956481609e-16,0.06448714435100555,10.098298788070679,8.476853370666504
Scale Modes=4,ablation,scale_modes,0,4,2,2,10,261,115,True,,0.05722353764723835,0.0696430925109293,0.04212712197592638,0.15132323885428206,0.0037794425152242184,0.0005792609881609678,3.0209054192954277e-16,0.08473088592290878,10.0956711769104,10.724210739135742
Scale Photons=1,ablation,scale_photons,0,5,1,2,5,310,184,True,,0.05181635285136861,0.05710344696412434,0.043171896806389845,0.10947752702999358,0.009311540052294731,0.0025160443037748337,1.0751396611037123e-15,0.060192931443452835,12.653913021087646,21.97113037109375
Scale Photons=2,ablation,scale_photons,0,5,2,2,15,310,184,True,,0.035991442118643385,0.027550351149449967,0.030688795965299873,0.08554181478280143,0.0039589605294167995,0.002993894973769784,8.866830889108662e-16,0.03017447143793106,13.648926258087158,18.02234649658203
